Nombre,Letra,Versos
"La Petenera (Los Hermanos Calderón, 1993)","Dicen que el agua salada tiene varias erupciones Dicen que el agua salada tiene varias erupciones la cosa está comprobada Ay la la la la cosa está comprobada que mantiene a tiburones que mantiene a tiburones y a la sirena encantada. Entre buenos cantadores me he paseado con esmero Entre buenos cantadores me he paseado con esmero dándoles distribuciones Ay la la la dándoles distribuciones de todito el mundo entero y toditas las naciones que tiene el reino extranjero Francia, París y España Roma, Londres y Turquía Francia, París y España Roma, Londres y Turquía pero Asia los acompaña Ay la la la pero Asia los acompaña Puerto Rico y Oceanía Ay también la Gran Bretaña África y la tierra mía","Dicen que el agua salada
tiene varias erupciones
Dicen que el agua salada
tiene varias erupciones
la cosa está comprobada
Ay la la la
la cosa está comprobada
que mantiene a tiburones
que mantiene a tiburones
y a la sirena encantada.
Entre buenos cantadores
me he paseado con esmero
Entre buenos cantadores
me he paseado con esmero
dándoles distribuciones
Ay la la la
dándoles distribuciones
de todito el mundo entero
y toditas las naciones
que tiene el reino extranjero
Francia, París y España
Roma, Londres y Turquía
Francia, París y España
Roma, Londres y Turquía
pero Asia los acompaña
Ay la la la
pero Asia los acompaña
Puerto Rico y Oceanía
Ay también la Gran Bretaña
África y la tierra mía"
"La Petenera (Los Camperos de Valles, 1995)",Que tiene el reino extranjero una gran fotografía Que tiene el reino extranjero una gran fotografía yo vide un barco velero Ay la la la yo vide un barco velero que venía desde Oceanía andaba de pasajero por las playas de Turquía Por las playas de Turquía paseándome con afán Por las playas de Turquía paseándome con afán navegando noche y día Ay la la la navegando noche y día vid un vapor alemán y el patrón que yo traía de la feria de San Juan De la feria de San Juan salí con rumbo al Oriente De la feria de San Juan salí con rumbo al Oriente navegando con afán Ay la la la navegando con afán un marinero excelente pasé por río Jordán entre millones de gentes Entre millones de gentes de mucha categoría Entre millones de gentes de mucha categoría navegando mutuamente Ay la la la navegando mutuamente el viento nos dirigía le temo no haya corriente ya llegando a Alejandría Ya llegando a Alejandría cogí un viento huracanado Ya llegando a Alejandría cogí un viento huracanado el barco que yo traía Ay la la la el barco que yo traía no pudo ser mejorado quiso la fortuna mía que en Rusia quedara anclado Que en Rusia quedara anclado un barco con elegancia Que en Rusia quedara anclado un barco con elegancia de ahí salió mejorado Ay la la la de ahí salió mejorado con vapor y esperanza porque ya iba tripulado con marineros de Francia Con marineros de Francia salí pa' la Gran Bretaña Con marineros de Francia salí pa' la Gran Bretaña fue tanta nuestra constancia Ay la la la fue tanta nuestra constancia que se me hizo cosa extraña yo vi el arca de la alianza cuando llegamos a España Cuando llegamos a España por lo mismo te repito Cuando llegamos a España por lo mismo te repito recordé la Gran Bretaña Ay la la la recordé la Gran Bretaña cuando pasé Puerto Rico y se me hizo cosa extraña cuando yo salí a Tampico,"Que tiene el reino extranjero
una gran fotografía
Que tiene el reino extranjero
una gran fotografía
yo vide un barco velero
Ay la la la
yo vide un barco velero
que venía desde Oceanía
andaba de pasajero
por las playas de Turquía
Por las playas de Turquía
paseándome con afán
Por las playas de Turquía
paseándome con afán
navegando noche y día
Ay la la la
navegando noche y día
vid un vapor alemán
y el patrón que yo traía
de la feria de San Juan
De la feria de San Juan
salí con rumbo al Oriente
De la feria de San Juan
salí con rumbo al Oriente
navegando con afán
Ay la la la
navegando con afán
un marinero excelente
pasé por río Jordán
entre millones de gentes
Entre millones de gentes
de mucha categoría
Entre millones de gentes
de mucha categoría
navegando mutuamente
Ay la la la
navegando mutuamente
el viento nos dirigía
le temo no haya corriente
ya llegando a Alejandría
Ya llegando a Alejandría
cogí un viento huracanado
Ya llegando a Alejandría
cogí un viento huracanado
el barco que yo traía
Ay la la la
el barco que yo traía
no pudo ser mejorado
quiso la fortuna mía
que en Rusia quedara anclado
Que en Rusia quedara anclado
un barco con elegancia
Que en Rusia quedara anclado
un barco con elegancia
de ahí salió mejorado
Ay la la la
de ahí salió mejorado
con vapor y esperanza
porque ya iba tripulado
con marineros de Francia
Con marineros de Francia
salí pa' la Gran Bretaña
Con marineros de Francia
salí pa' la Gran Bretaña
fue tanta nuestra constancia
Ay la la la
fue tanta nuestra constancia
que se me hizo cosa extraña
yo vi el arca de la alianza
cuando llegamos a España
Cuando llegamos a España
por lo mismo te repito
Cuando llegamos a España
por lo mismo te repito
recordé la Gran Bretaña
Ay la la la
recordé la Gran Bretaña
cuando pasé Puerto Rico
y se me hizo cosa extraña
cuando yo salí a Tampico"
"La Petenera (Coyalapa, Hidalgo, 1978)","Pescador en la barra nunca pudo dar con bola Pescador en la barra nunca pudo dar con bola por pescar una mojarra Ay la la la por pescar una mojarra pescó un sapo de la cola pescó un sapo de la cola que no cualquiera lo agarra. Cuando el marinero mira la borrasca por el cielo Cuando el marinero mira la borrasca por el cielo se queja, llora y suspira Ay la la la se queja, llora y suspira y le dice al compañero si Dios me presta la vida no vuelvo a ser marinero. Yo vide una embarcación que venía saltando a tierra Yo vide una embarcación que venía saltando a tierra y era Cristóbal Colón Ay la la la y era Cristóbal Colón que venía de Venezuela junto con su expedición dando vueltas a la tierra.","Pescador en la barra
nunca pudo dar con bola
Pescador en la barra
nunca pudo dar con bola
por pescar una mojarra
Ay la la la
por pescar una mojarra
pescó un sapo de la cola
pescó un sapo de la cola
que no cualquiera lo agarra.
Cuando el marinero mira
la borrasca por el cielo
Cuando el marinero mira
la borrasca por el cielo
se queja, llora y suspira
Ay la la la
se queja, llora y suspira
y le dice al compañero
si Dios me presta la vida
no vuelvo a ser marinero.
Yo vide una embarcación
que venía saltando a tierra
Yo vide una embarcación
que venía saltando a tierra
y era Cristóbal Colón
Ay la la la
y era Cristóbal Colón
que venía de Venezuela
junto con su expedición
dando vueltas a la tierra."
"La Petenera (Los Cantores de la Huasteca, 1985)",Dicen que el agua salada tiene varias seducciones Dicen que el agua salada tiene varias seducciones la cosa está comprobada Ay la la la la cosa está comprobada que mantiene a tiburones que mantiene a tiburones y a la sirena encantada La sirena de la mar me dicen que es muy bonita La sirena de la mar me dicen que es muy bonita yo la quisiera encontrar Ay la la la yo la quisiera encontrar y besarle su boquita pero como es animal no se puede naditita Pescador y marinero ha sido mi profesión Pescador y marinero ha sido mi profesión conozco al pescado mero Ay la la la Ay la la la conozco al pescado mero también conozco al salmón que si no cae con anzuelo solamente y con arpón Seis años y un mes anduve de marinero en el mar Seis años y un mes anduve de marinero en el mar por una razón que tuve Ay la la ay la la la por una rasó que tuve que tu te ibas a embarcar en una preciosa nube de las que bajan al mar,"Dicen que el agua salada
tiene varias seducciones
Dicen que el agua salada
tiene varias seducciones
la cosa está comprobada
Ay la la la
la cosa está comprobada
que mantiene a tiburones
que mantiene a tiburones
y a la sirena encantada
La sirena de la mar
me dicen que es muy bonita
La sirena de la mar
me dicen que es muy bonita
yo la quisiera encontrar
Ay la la la
yo la quisiera encontrar
y besarle su boquita
pero como es animal
no se puede naditita
Pescador y marinero
ha sido mi profesión
Pescador y marinero
ha sido mi profesión
conozco al pescado mero
Ay la la la
Ay la la la
conozco al pescado mero
también conozco al salmón
que si no cae con anzuelo
solamente y con arpón
Seis años y un mes anduve
de marinero en el mar
Seis años y un mes anduve
de marinero en el mar
por una razón que tuve
Ay la la ay la la la
por una rasó que tuve
que tu te ibas a embarcar
en una preciosa nube
de las que bajan al mar"
"La Petenera (Los Caimanes de Tampico, 1996)","Dicen que el agua salada tiene varias seducciones Dicen que el agua salada tiene varias seducciones la cosa está comprobada Ay la la la la cosa está comprobada que mantiene a tiburones que mantiene a tiburones y a la sirena encantada La sirena allá en el agua luce en todo su esplendor La sirena allá en el agua luce en todo su esplendor pero no se le compara Ay la la la pero no se le compara a una muy hermosa flor ella vive allá en Paniagua y es la dueña de mi amor Francia, París y España, Roma, Londres y Turquía, Francia, París y España, Roma, Londres y Turquía, pero Asia los acompaña Ay la la la pero Asia los acompaña Puerto Rico y Oceanía y también la Gran Bretaña África y la patria mía","Dicen que el agua salada
tiene varias seducciones
Dicen que el agua salada
tiene varias seducciones
la cosa está comprobada
Ay la la la
la cosa está comprobada
que mantiene a tiburones
que mantiene a tiburones
y a la sirena encantada
La sirena allá en el agua
luce en todo su esplendor
La sirena allá en el agua
luce en todo su esplendor
pero no se le compara
Ay la la la
pero no se le compara
a una muy hermosa flor
ella vive allá en Paniagua
y es la dueña de mi amor
Francia, París y España,
Roma, Londres y Turquía,
Francia, París y España,
Roma, Londres y Turquía,
pero Asia los acompaña
Ay la la la
pero Asia los acompaña
Puerto Rico y Oceanía
y también la Gran Bretaña
África y la patria mía"
"La Petenera (Trío Armonía de Chapulhuacán, 1974)",Petenera Petenera quien te pudiera comprar Petenera Petenera quien te pudiera comprar ojalá y que yo pudiera Ay la la la la la la la ojalá y que yo pudiera cuando menos entonar como entona la sirena entre las olas del mar Conocí la embarcación que el rey d'Italia tenía Conocí la embarcación que el rey d'Italia tenía y también a su patrón Ay la la la y también a su patrón a quien a tierra dirigía era Cristóbal Colón que desde Europa venía La sirena de la mar me dicen que es muy bonita La sirena de la mar me dicen que es muy bonita yo la quisiera tocar y besarle su boquita pero como es animal no se puede naditita Pescador y marinero ha sido mi profesión Pescador y marinero ha sido mi profesión conozco al pescado mero Ay la la la ay la la la conozco al pescado mero y otro poquito al salmón ese no cae con anzuelo solamente con arpón,"Petenera Petenera
quien te pudiera comprar
Petenera Petenera
quien te pudiera comprar
ojalá y que yo pudiera
Ay la la la la la la la
ojalá y que yo pudiera
cuando menos entonar
como entona la sirena
entre las olas del mar
Conocí la embarcación
que el rey d'Italia tenía
Conocí la embarcación
que el rey d'Italia tenía
y también a su patrón
Ay la la la
y también a su patrón
a quien a tierra dirigía
era Cristóbal Colón
que desde Europa venía
La sirena de la mar
me dicen que es muy bonita
La sirena de la mar
me dicen que es muy bonita
yo la quisiera tocar
y besarle su boquita
pero como es animal
no se puede naditita
Pescador y marinero
ha sido mi profesión
Pescador y marinero
ha sido mi profesión
conozco al pescado mero
Ay la la la ay la la la
conozco al pescado mero
y otro poquito al salmón
ese no cae con anzuelo
solamente con arpón"
"La Petenera (Trío Xoxocapa, [s.f.])",Petenera Petenera quien te pudiera comprar Petenera Petenera quien te pudiera comprar ojalá y que yo pudiera Ay la la la la la la la ojalá y que yo pudiera cuando menos entonar como entona la sirena sobre las olas del mar Estando yo recostado en lo fresco de la arena Estando yo recostado en lo fresco de la arena oí la voz de un pescado Ay la la la la oí la voz de un pescado que le dijo a la sirena qué trabajos he pasado por amar a esa morena La sirena se embarcó en un buque de madera La sirena se embarcó en un buque de madera como el aire le faltó Ay la la ay la la la como el aire le faltó no pudo salir a tierra a medio mar se quedó cantando la petenera,"Petenera Petenera
quien te pudiera comprar
Petenera Petenera
quien te pudiera comprar
ojalá y que yo pudiera
Ay la la la la la la la
ojalá y que yo pudiera
cuando menos entonar
como entona la sirena
sobre las olas del mar
Estando yo recostado
en lo fresco de la arena
Estando yo recostado
en lo fresco de la arena
oí la voz de un pescado
Ay la la la la
oí la voz de un pescado
que le dijo a la sirena
qué trabajos he pasado
por amar a esa morena
La sirena se embarcó
en un buque de madera
La sirena se embarcó
en un buque de madera
como el aire le faltó
Ay la la ay la la la
como el aire le faltó
no pudo salir a tierra
a medio mar se quedó
cantando la petenera"
"La Petenera (Trío Alma de las Tres Huastecas, 1968-69?)",Entre buenos cantadores me he paseado con esmero Entre buenos cantadores me he paseado con esmero dándoles distribuciones Ay la la la la la la dándoles distribuciones en todito el mundo entero y toditas las naciones que tiene el reino extranjero Que tiene el reino extranjero una gran fotografía Que tiene el reino extranjero una gran fotografía yo vide un barco velero Ay la la la yo vide un barco velero que venía desde Oceanía que andaba de pasajero por las playas de Turquía Por las playas de Turquía paseándome sin afán Por las playas de Turquía paseándome sin afán navegando noche y día Ay la la la la la la navegando noche y día en un vapor alemán y el vapor que yo traía de la feria de San Juan En la feria de San Juan salí con rumbo al Oriente En la feria de San Juan salí con rumbo al Oriente navegando sin afán Ay la la la la la la navegando sin afán marinero excelente pasé por el río Jordán y entre millones de gentes Entre millones de gentes de mucha categoría entre millones de gentes de mucha categoría navegando mutuamente Ay la la la la la la navegando mutuamente y el sol me dirigía no temo que haga corriente llegando ya a Alejandría Llegando ya a Alejandría tomé un viento huracanado llegando ya a Alejandría tomé un viento huracanado el barco que yo traía Ay la la Ay la la la el barco que yo traía pudo ser mejorado quiso la fortuna mía que en Rusia quedara anclado Que en Rusia quedara anclado un barco con elegancia Que en Rusia quedara anclado un barco con elegancia y allí salió mejorado Ay la la la la la la y allí salió mejorado por vapor y esperanza porque venía tripulado con marineros de Francia Con marineros de Francia salí pa la Gran Bretaña Con marineros de Francia salí pa la Gran Bretaña fue tanta nuestra constancia Ay la la la la la fue tanta nuestra constancia que pareció cosa extraña yo vi el arca de la alianza cuando llegamos a España,"Entre buenos cantadores
me he paseado con esmero
Entre buenos cantadores
me he paseado con esmero
dándoles distribuciones
Ay la la la la la la
dándoles distribuciones
en todito el mundo entero
y toditas las naciones
que tiene el reino extranjero
Que tiene el reino extranjero
una gran fotografía
Que tiene el reino extranjero
una gran fotografía
yo vide un barco velero
Ay la la la
yo vide un barco velero
que venía desde Oceanía
que andaba de pasajero
por las playas de Turquía
Por las playas de Turquía
paseándome sin afán
Por las playas de Turquía
paseándome sin afán
navegando noche y día
Ay la la la la la la
navegando noche y día
en un vapor alemán
y el vapor que yo traía
de la feria de San Juan
En la feria de San Juan
salí con rumbo al Oriente
En la feria de San Juan
salí con rumbo al Oriente
navegando sin afán
Ay la la la la la la
navegando sin afán
marinero excelente
pasé por el río Jordán
y entre millones de gentes
Entre millones de gentes
de mucha categoría
entre millones de gentes
de mucha categoría
navegando mutuamente
Ay la la la la la la
navegando mutuamente
y el sol me dirigía
no temo que haga corriente
llegando ya a Alejandría
Llegando ya a Alejandría
tomé un viento huracanado
llegando ya a Alejandría
tomé un viento huracanado
el barco que yo traía
Ay la la Ay la la la
el barco que yo traía
pudo ser mejorado
quiso la fortuna mía
que en Rusia quedara anclado
Que en Rusia quedara anclado
un barco con elegancia
Que en Rusia quedara anclado
un barco con elegancia
y allí salió mejorado
Ay la la la la la la
y allí salió mejorado
por vapor y esperanza
porque venía tripulado
con marineros de Francia
Con marineros de Francia
salí pa la Gran Bretaña
Con marineros de Francia
salí pa la Gran Bretaña
fue tanta nuestra constancia
Ay la la la la la
fue tanta nuestra constancia
que pareció cosa extraña
yo vi el arca de la alianza
cuando llegamos a España"
"La Petenera (Los fandangueros de Tixtla, de Vicente González, [s.f.])",Dicen que la Petenera es una santa mujer es una santa mujer dicen que la Petenera que se va a lavar de tarde y viene al amanecer y llega al amanecer que se va a lavar de tarde Ay Soledad soledad que así decía regálame un vaso de agua que me muero de sequía Ay Soledad soledad que así decía regálame un vaso de agua que me muero de sequía Dicen que la Petenera es una mujer bonita es una mujer bonita Dicen que la Petenera que se va a bañar de tarde y viene a la mañanita y llega en la mañanita que se va a bañar de tarde Ay Soledad Soledad de aquel que fue a darle agua a su caballo que se le murió de sed Ay Soledad Soledad de aquel que fue a darle agua a su caballo que se le murió de sed Dicen que la Petenera es una mujer honrada es una mujer honrada dicen que la Petenera que se va a lavar de tarde y llega en la madrugada que llega en la madrugada que se va a lavar de tarde Ay Soledad soledad del otro lado más vale torear un toro y no un viejo alborotado Ay Soledad soledad del otro lado más vale torear un toro y no un viejo alborotado A orilla de un camposanto yo vide una calavera yo vide una calavera a orilla de un camposanto con su cigarro en la boca cantando la petenera cantando la petenera con su cigarro en la boca Ay Soledad soledad de cerro en cerro todos tiene sus amores y a mí que me muerda un perro Ay Soledad soledad de cerro en cerro todos tiene sus amores y a mí que me muerda un perro,"Dicen que la Petenera
es una santa mujer
es una santa mujer
dicen que la Petenera
que se va a lavar de tarde
y viene al amanecer
y llega al amanecer
que se va a lavar de tarde
Ay Soledad
soledad que así decía
regálame un vaso de agua
que me muero de sequía
Ay Soledad
soledad que así decía
regálame un vaso de agua
que me muero de sequía
Dicen que la Petenera
es una mujer bonita
es una mujer bonita
Dicen que la Petenera
que se va a bañar de tarde
y viene a la mañanita
y llega en la mañanita
que se va a bañar de tarde
Ay Soledad
Soledad de aquel que fue
a darle agua a su caballo
que se le murió de sed
Ay Soledad
Soledad de aquel que fue
a darle agua a su caballo
que se le murió de sed
Dicen que la Petenera
es una mujer honrada
es una mujer honrada
dicen que la Petenera
que se va a lavar de tarde
y llega en la madrugada
que llega en la madrugada
que se va a lavar de tarde
Ay Soledad
soledad del otro lado
más vale torear un toro
y no un viejo alborotado
Ay Soledad
soledad del otro lado
más vale torear un toro
y no un viejo alborotado
A orilla de un camposanto
yo vide una calavera
yo vide una calavera
a orilla de un camposanto
con su cigarro en la boca
cantando la petenera
cantando la petenera
con su cigarro en la boca
Ay Soledad
soledad de cerro en cerro
todos tiene sus amores
y a mí que me muerda un perro
Ay Soledad
soledad de cerro en cerro
todos tiene sus amores
y a mí que me muerda un perro"
"La Petenera (Aires de Son, 2009)",Dicen que la Petenera es una mujer bonita es una mujer bonita dicen que la Petenera que se va a bañar de tarde y viene a la mañanita y viene a la mañanita que se va a bañar de tarde Ay Soledad soledad de aquel que fue a dale agua a su caballo que se le moría de sed Ay Soledad soledad de aquel que fue a dale agua a su caballo que se le moría de sed Dicen que la Petenera es una mujer honrada es una mujer honrada dicen que la Petenera que se va a bañar de tarde y viene a la madrugada y viene a la madrugada que se va a bañar de tarde Ay Soledad soledad de cerro en cerro todos tiene sus amores y a mí que me muerda un perro Ay Soledad soledad de cerro en cerro todos tiene sus amores y a mí que me muerda un perro Dicen que la Petenera es una santa mujer es una santa mujer dicen que la Petenera que se va a lavar de tarde y viene al amanecer y viene al amanecer que se va a lavar de tarde Ay Soledad soledad que así decía regálame un vaso de agua que me muero de sequía Ay Soledad soledad que así decía regálame un vaso de agua que me muero de sequía Dicen que la Petenera es una mujer bonita es una mujer bonita dicen que la Petenera que se va a bañar de tarde y vuelve a la mañanita y vuelve a la mañanita que se va a bañar de tarde Ay Soledad soledad de aquel que fue a dale agua a su caballo que se le moría de sed Ay Soledad soledad de aquel que fue a dale agua a su caballo que se le moría de sed A orilla de un camposanto yo vide una calavera yo vide una calavera a orilla de un camposanto con un cigarro en la boca cantando la petenera cantando la petenera con un cigarro en la boca Ay Soledad soledad del otro lado vale más torear un toro y no un viejo alborotado Ay Soledad soledad del otro lado vale más torear un toro y no un viejo alborotado,"Dicen que la Petenera
es una mujer bonita
es una mujer bonita
dicen que la Petenera
que se va a bañar de tarde
y viene a la mañanita
y viene a la mañanita
que se va a bañar de tarde
Ay Soledad
soledad de aquel que fue
a dale agua a su caballo
que se le moría de sed
Ay Soledad
soledad de aquel que fue
a dale agua a su caballo
que se le moría de sed
Dicen que la Petenera
es una mujer honrada
es una mujer honrada
dicen que la Petenera
que se va a bañar de tarde
y viene a la madrugada
y viene a la madrugada
que se va a bañar de tarde
Ay Soledad
soledad de cerro en cerro
todos tiene sus amores
y a mí que me muerda un perro
Ay Soledad
soledad de cerro en cerro
todos tiene sus amores
y a mí que me muerda un perro
Dicen que la Petenera
es una santa mujer
es una santa mujer
dicen que la Petenera
que se va a lavar de tarde
y viene al amanecer
y viene al amanecer
que se va a lavar de tarde
Ay Soledad
soledad que así decía
regálame un vaso de agua
que me muero de sequía
Ay Soledad
soledad que así decía
regálame un vaso de agua
que me muero de sequía
Dicen que la Petenera
es una mujer bonita
es una mujer bonita
dicen que la Petenera
que se va a bañar de tarde
y vuelve a la mañanita
y vuelve a la mañanita
que se va a bañar de tarde
Ay Soledad
soledad de aquel que fue
a dale agua a su caballo
que se le moría de sed
Ay Soledad
soledad de aquel que fue
a dale agua a su caballo
que se le moría de sed
A orilla de un camposanto
yo vide una calavera
yo vide una calavera
a orilla de un camposanto
con un cigarro en la boca
cantando la petenera
cantando la petenera
con un cigarro en la boca
Ay Soledad
soledad del otro lado
vale más torear un toro
y no un viejo alborotado
Ay Soledad
soledad del otro lado
vale más torear un toro
y no un viejo alborotado"
"Recopilación de Cantes Flamencos (Antonio Machado y Álvarez ""Demófilo"", 1881)","Acaba penita, acaba; dame muerte de una bes, que con er morir se acaba, ¡Soleá, triste de mí!, la pena y er padeser. Aquel que tenga penitas benga a reunirse conmigo a ber si yorando sangre, ¡soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!, tenemos argún alibio. Ar campo fui yo y a un arbo a contarle mi sentí, y al arbo de oír mi pena, ¡Soleá  y más soleá!, se le secó la raís. Cuando paso por tu puerta y no me ises adiós, ni las ánimas benditas, ¡Soleá, triste de mí!, pasan más ducas que yo. En er simenterio entré. Le ije ar seporturero si hay un sitio señalao, ¡Soleá y más Soleá!, pa aquer que muere queriendo. En La Habana nasí yo debajo de una parmera; ¡ay!, me echaron el agua cantando la petenera. Er que quiera cantar bien cante cuando tenga pena; La  misma pena le jase, ¡niña de mi corasón!, cantar bien, aunque no quiera. La pena y la que no es pena todo es pena para mí: ayer penaba por berte, ¡Soleá y más Soleá!, y hoy peno porque te bi. Mal haya la petenera y quien la trajo a esta tierra, que la petenera es causa, ¡Soleá y más soleá!, de que los hombres se pierdan. No me mires, que me matas con esos ojos tan tristes, porque se me representa, ¡niña de mi corasón!, el mal pago que me distes. Pensamiento, ¿aónde me yebas, que no te pueo seguí? No me metas en un paraje, ¡niña de mi corasón!, donde no pueda salir. Petenera de mi vida, Petenera er corasón, por causa e la petenera, ¡Soleá, triste de mí!, estoy pasando doló. Pobresito de los mineros, lástima les tengo yo, que se meten en las minas, ¡Soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!, y mueren sin confesión. Por aonde quiera que boy parece que te boy biendo; son las sombras del queré que me bienen persiguiendo. Quien te puso Petenera no supo ponerte nombre, que te debía de haberte puesto la perdición de los hombres. Si, por querer a otro, quieres que yo la muerte resiba, cúmplase tu boluntá; ¡Soleá, triste de mí!, muera yo porque otro biba. Un rosal cría una rosa y una maseta un crabé y un padre cría una hija, ¡Soleá, triste de mí!, sin sabé para quién es. Una mujé fue la causa de mi perdisión primera: no hay perdisión en er mundo ¡niña de mi corasón! Unos ojos negros fueron causa de mi enfermeá. No quiero más ojos negros, ¡niña de mi corasón!, que me tiran a matá. Ya no puede ser er cuerbo, más negros que son las alas; ya no pueden ser mis penas, ¡niña de mi corasón!, más grandes que las pasadas. Yo m’arrimé a un pedregal por ber si me consolaba; que aquel que tiene fatigas, ¡soleá y más soleá!, hasta con las pieras jabla. Yo m’arrimé a un pino verde, por ber si me consolaba; y el pino como era verde, ¡Soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!, de berme yorar, yoraba. Tengo una pena conmigo que a naide se la diré; daré martirio a mi cuerpo, ¡Soleá y más soleá!, por darle gusto ar queré.","Acaba penita, acaba;
dame muerte de una bes,
que con er morir se acaba,
¡Soleá, triste de mí!,
la pena y er padeser.
Aquel que tenga penitas
benga a reunirse conmigo
a ber si yorando sangre,
¡soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!,
tenemos argún alibio.
Ar campo fui yo y a un arbo
a contarle mi sentí,
y al arbo de oír mi pena,
¡Soleá  y más soleá!,
se le secó la raís.
Cuando paso por tu puerta
y no me ises adiós,
ni las ánimas benditas,
¡Soleá, triste de mí!,
pasan más ducas que yo.
En er simenterio entré.
Le ije ar seporturero
si hay un sitio señalao,
¡Soleá y más Soleá!,
pa aquer que muere queriendo.
En La Habana nasí yo
debajo de una parmera;
¡ay!, me echaron el agua
cantando la petenera.
Er que quiera cantar bien
cante cuando tenga pena;
La  misma pena le jase,
¡niña de mi corasón!,
cantar bien, aunque no quiera.
La pena y la que no es pena
todo es pena para mí:
ayer penaba por berte,
¡Soleá y más Soleá!,
y hoy peno porque te bi.
Mal haya la petenera
y quien la trajo a esta tierra,
que la petenera es causa,
¡Soleá y más soleá!,
de que los hombres se pierdan.
No me mires, que me matas
con esos ojos tan tristes,
porque se me representa,
¡niña de mi corasón!,
el mal pago que me distes.
Pensamiento, ¿aónde me yebas,
que no te pueo seguí?
No me metas en un paraje,
¡niña de mi corasón!,
donde no pueda salir.
Petenera de mi vida,
Petenera er corasón,
por causa e la petenera,
¡Soleá, triste de mí!,
estoy pasando doló.
Pobresito de los mineros,
lástima les tengo yo,
que se meten en las minas,
¡Soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!,
y mueren sin confesión.
Por aonde quiera que boy
parece que te boy biendo;
son las sombras del queré
que me bienen persiguiendo.
Quien te puso Petenera
no supo ponerte nombre,
que te debía de haberte puesto
la perdición de los hombres.
Si, por querer a otro, quieres
que yo la muerte resiba,
cúmplase tu boluntá;
¡Soleá, triste de mí!,
muera yo porque otro biba.
Un rosal cría una rosa
y una maseta un crabé
y un padre cría una hija,
¡Soleá, triste de mí!,
sin sabé para quién es.
Una mujé fue la causa
de mi perdisión primera:
no hay perdisión en er mundo
¡niña de mi corasón!
Unos ojos negros fueron
causa de mi enfermeá.
No quiero más ojos negros,
¡niña de mi corasón!,
que me tiran a matá.
Ya no puede ser er cuerbo,
más negros que son las alas;
ya no pueden ser mis penas,
¡niña de mi corasón!,
más grandes que las pasadas.
Yo m’arrimé a un pedregal
por ber si me consolaba;
que aquel que tiene fatigas,
¡soleá y más soleá!,
hasta con las pieras jabla.
Yo m’arrimé a un pino verde,
por ber si me consolaba;
y el pino como era verde,
¡Soleá!, ¡ay!, ¡ay!, ¡ay!, ¡ay!,
de berme yorar, yoraba.
Tengo una pena conmigo
que a naide se la diré;
daré martirio a mi cuerpo,
¡Soleá y más soleá!,
por darle gusto ar queré."
"A Translation (W. Basil Worsfold, 1900)","Por tí me olvidé de Dios; por tí la gloria perdí y ahora me voy á quedar, Soleá, triste de mí, sin Dios, sin gloria y sin ti","Por tí me olvidé de Dios;
por tí la gloria perdí
y ahora me voy á quedar,
Soleá, triste de mí,
sin Dios, sin gloria y sin ti"
Bonitas canciones para cantar las peteneras (1880),"La mujer busca el metal; el hombre busca el honor y en los tiempos que corremos, Soleá y más soleá, esa fruta se perdió. Ninguno debe fiarse de la mujer que es bonita; al que quiere que le pongan, niña de mi corazón, lo que llevan las cabrillas. Señor alcalde mayor, yo soy una americana que canto la pertenera, niña de mi corazón, al estilo de la Habana. Todo el que quiere tener a su mujer muy segura que la lleve siempre atadita en un cordel a la cintura.","La mujer busca el metal;
el hombre busca el honor
y en los tiempos que corremos,
Soleá y más soleá,
esa fruta se perdió.
Ninguno debe fiarse
de la mujer que es bonita;
al que quiere que le pongan,
niña de mi corazón,
lo que llevan las cabrillas.
Señor alcalde mayor,
yo soy una americana
que canto la pertenera,
niña de mi corazón,
al estilo de la Habana.
Todo el que quiere tener
a su mujer muy segura
que la lleve siempre atadita
en un cordel a la cintura."
"Barcelona Tal Cual Es; Por Un Madrileño  (Juan Valero de Tornos, 1888)","Dos besos tengo en el alma, que no s’apartan de mí: el primero de mi suegra y uno que la di á un sivil.","Dos besos tengo en el alma,
que no s’apartan de mí:
el primero de mi suegra
y uno que la di á un sivil."
Claveles de España: Peteneras Sevillanas (Pola Gibarola),"Entre Sevilla y Triana hay un río caudaloso entre dos que bien se quieren, niña de mi corazón; No hay nada dificultoso.","Entre Sevilla y Triana
hay un río caudaloso
entre dos que bien se quieren,
niña de mi corazón;
No hay nada dificultoso."
"Champagne, Manzanilla y Peleón, Humorada cómico-lírica en un acto y tres cuadros (Felipe Pérez y González, 1887)",Cuando se emborracha un pobre le dicen: ¡el borrachón!. Cuando se emborracha un rico: ¡qué gracioso está el señor!,"Cuando se emborracha un pobre
le dicen: ¡el borrachón!.
Cuando se emborracha un rico:
¡qué gracioso está el señor!"
"Cantos populares españoles (Fco. Rodriguez Marín, 1882)","Ya no vivo yo en la calle donde usté me conoció, que vivo en la callejuela del Desamparo mayor.","Ya no vivo yo en la calle
donde usté me conoció,
que vivo en la callejuela
del Desamparo mayor."
